inquiry	in'kwaiəri	n.询问，打听；调查
number	nΛmbə	n.数，数字；号码
chemist	kemist	n.化学家；药剂师
invest	in'vest	vt.投资；投入
certain	sə:tən	a.确实的；肯定的
peasant	pezənt	n.农民
letter	letə	n.信；证书；字母
picture	piktʃə	n.画，图片vt.画
shortly	ʃɔ:tli	ad.立刻；简短地
Marxist	ma:ksist	a.马克思主义的
praise	preiz	n.赞扬，赞美vi.赞扬
library	laibrəri	n.图书馆；藏书
roller	rəulə	n.滚柱，滚筒，滚轴
junior	dʒu:njə	a.年少的n.晚辈
lecture	lektʃə	n.&vi.演讲，讲课
capital	kæpitl	n.资本，资金；首都
recover	ri'kΛvə	vt.重新获得；挽回
vibrate	vai'breit	vt.使颤动vi.颤动
quarter	kwɔ:tə	n.四分之一；一刻钟
violet	vaiəlit	n.紫罗兰
operate	ɔpəreit	vi.操作；施行手术
insure	in'ʃuə	vt.给…保险；确保
descend	di'send	vt.&vi.降传降临下来下降下倾
inside	in'said	prep.在…里面n.内部
plural	pluərəl	a.复数的n.复数
layout	leiaut	n.布局，安排，设计
plunge	plΛndʒ	vt.使投入；使陷入
college	kɔlidʒ	n.学院；大学
relate	ri'leit	vt.叙述；使联系
mystery	mistəri	n.神秘；神秘的事物
hostile	hɔstail	a.敌方的；不友善的
remedy	remidi	n.&vt.治疗；补救
talent	tælənt	n.天才；才能；人才
breadth	bredð	n.宽度，幅度；幅面
vapour	veipə	n.汽，蒸气
intend	in'tend	vt.想要，打算；意指
deserve	di'zə:v	vt.应受值得vi.应该得到
inward	inwəd	a.里面的ad.向内
furnace	fə:nis	n.炉子，熔炉；鼓风炉
suspect	səs'pekt,'sΛspekt	vt.怀疑vi.疑心
diamond	'daiəmənd	n.金钢石
simply	simpli	ad.简单地；朴素地
problem	prɔbləm	n.问题；习题，问题
stretch	stretʃ	vt.伸展vi.伸n.伸展
resolve	ri'zɔlv	vt.解决；决心n.决心
wholly	həuli	ad.完全地，全部
federal	fedərəl	a.联邦的；联盟的
consult	kən'sΛlt	vt.请教，查阅
unknown	Λn'nəun	a.不知道的；未知的
monkey	mΛŋki	n.猴子，猿
reveal	ri'vi:l	vt.展现；揭示，揭露
enlarge	in'la:dʒ	vt.扩大，扩展；放大
anxiety	æŋg'zaiəti	n.焦虑，忧虑；渴望
deposit	di'pɔzit	vt.使沉淀存放堆积vi.沉淀n.存款定金堆积物
insect	insekt	n.昆虫，虫
explain	iks'plein	vt.解释；为…辩解
picnic	piknik	n.郊游，野餐vi.野餐
offend	ə'fend	vt.冒犯vi.犯过错
whisper	wispə	vt.低声地讲vi.低语
signal	signəl	n.信号vi.发信号
unique	ju:'ni:k	a.唯一的，独一无二的
contest	kən'test,'kɔntest	vt.争夺，争取；辩驳
invade	in'veid	vt.入侵，侵略；侵袭
hopeful	həupful	a.有希望的
sleeve	sli:v	n.袖子，袖套
repeat	ri'pi:t	vt.重说，重做n.重复
mature	mə'tjuə	a.成熟的vt.使成熟
confirm	kən'fə:m	vt.证实，肯定；批准
liberty	libəti	n.自由；释放；许可
latter	lætə	a.(两者中)后者的
prince	prins	n.王子，亲王
outset	aut-set	n.开始，开端
receive	ri'si:v	vt.收到；得到；接待
series	siəri:z	n.连续，系列；丛书
removal	ri'mu:vəl	n.移动；迁移；除掉
relieve	ri'li:v	vt.减轻，解除；救济
turbine	tə:bin	n.叶轮机，汽轮机
request	ri'kwest	n.&v.请求，要求
breathe	bri:ð	vi.呼吸vt.呼吸
clarify	klærifai	vt.澄清，阐明
husband	hΛzbənd	n.丈夫
upward	Λpwəd	a.向上的，上升的
league	li:g	n.同盟，联盟；联合会
officer	ɔfisə	n.官员；干事；军官
motion	məuʃən	n.运动；手势；提议
sincere	sin'siə	a.真诚的；真挚的
urgent	ə:dʒənt	a.紧急的；强求的
mental	mentl	a.智力的；精神的
observe	əb'zə:v	vt.遵守；看到；说
routine	ru:'ti:n	n.例行公事a.日常的
abandon	ə'bændən	vt.丢弃；放弃，抛弃
inform	in'fɔ:m	vt.通知，向…报告
rhythm	riðəm	n.韵律，格律；节奏
elastic	i'læstik	n.松紧带a.有弹性的
wicked	wikid	a.坏的；令人厌恶的
nearby	niəbai	a.附近的ad.在附近
stable	steibl	a.稳定的，不变的n.厩，马厩，牛棚
climate	klaimit	n.气候；风土，地带
express	iks'pres	vt.表示n.快车，快递
member	membə	n.成员，会员
rotary	rəutəri	a.旋转的，转动的
reserve	ri'zə:v	vt.储备，保留；预定
office	ɔfis	n.办公室；处，局，社
company	kΛmpəni	n.公司，商号；同伴
benefit	benifit	n.利益；恩惠；津贴
status	steitəs	n.地位，身分
leader	li:də	n.领袖，领导人；首领
instant	instənt	n.瞬间a.立即的
example	ig'za:mpl	n.例子，实例；模范
traffic	træfik	n.交通，通行；交通量
reader	ri:də	n.读者；读物，读本
thunder	θΛndə	n.雷vi.打雷vt.吼出
portion	pɔ:ʃən	n.一部分；一分
courage	kΛridʒ	n.勇气，胆量，胆识
limited	limitid	a.有限的
insult	insΛlt,in'sΛlt	vt.&n.侮辱，凌辱
nephew	nevju:	n.侄子，外甥
tremble	trembl	vi.发抖，哆嗦；摇动
punish	pΛniʃ	vt.罚，惩罚，处罚
despise	di'spaiz	vt.鄙视蔑视
logical	lɔdʒikəl	a.逻辑的；符合逻辑的
married	mærid	a.已婚的；婚姻的
incline	in'klain	n.斜坡vt.使倾斜
include	in'klu:d	vt.包括，包含
parcel	pa:sl	n.包裹，小包，邮包
labour	leibə	n.劳动；工作；劳工
appoint	ə'pɔint	vt.任命，委任；约定
infect	in'fekt	vt.传染；感染
flavour	fleivə	n.味，味道；风味
curious	kjuəriəs	a.好奇的；稀奇古怪的
chimney	tʃimni	n.烟囱，烟筒；玻璃罩
forever	fə'revə	ad.永远，总是，老是
object	obdʒiktəb'dʒekt	n.物，物体；目的vi.反对；抱反感
pierce	piəs	vt.剌穿vi.穿入
resort	ri'zɔ:t	vi.&n.求助，凭借;诉诸于(+to武力等)
despite	di'spait	prep.不管尽管不顾v.憎恨轻视
bicycle	baisikl	n.自行车，脚踏车
realize	riəlaiz	vt.实现；认识到
heading	hediŋ	n.标题，题词，题名
genuine	dʒenjuin	a.真的；真正的
really	riəli	ad.真正地；实在
catalog	kætəlɔg	n.目录，目录册
various	veəriəs	a.各种各样的，不同的
lonely	ləunli	a.孤独的；荒凉的
gaseous	geizjəs	a.气体的，气态的
retreat	ri'tri:t	vi.(被迫)退却，后退
oxygen	ɔksidʒən	n.氧气
yearly	jə:li	a.每年的ad.一年一度
compose	kəm'pəuz	vt.组成，构成；创作
remote	ri'məut	a.相隔很远的；冷淡的
square	skweə	n.正方形；广场
sustain	səs'tein	vt.支撑；供养；忍受
explɔit	eksplɔit,iks'plɔit	vt.剥削；利用；开拓
minute	minit,mai'nju:t	n.分，分钟；一会儿a.微细的；详细的
orderly	ɔ:dəli	a.整洁的；有秩序的
destroy	dis'trɔi	vt.&vi.破坏消灭打破[计算机]撤消
period	piəriəd	n.时期；学时；句号
chicken	tʃikin	n.小鸡，小鸟；鸡肉
typical	tipikəl	a.典型的，代表性的
prepare	pri'peə	vt.&vi.准备，预备
scrape	skreip	vt.&vi.&n.刮，擦
consent	kən'sent	n.同意，赞成vi.同意
council	kaunsil	n.理事会，委员会
tunnel	tΛnl	n.隧道，坑道，地道
storey	stɔ:ri	n.(层)楼
friday	fraidi	n.星期五
divorce	di'vɔ:s	n.离婚离异vi.离婚与...办离婚
silent	sailənt	a.沉默的；寂静无声的
culture	kΛltʃə	n.文化，文明；教养
protect	prə'tekt	vt.保护，保卫，警戒
prevent	pri'vent	vt.预防，防止；阻止
palace	pælis	n.宫，宫殿
nuclear	nju:kliə	a.原子核的；核心的
nation	neiʃən	n.民族；国家
country	kΛntri	n.国家，国土；农村
besides	bi'saidz	ad.而且prep.除…之外
pretend	pri'tend	vt.假托，借口vi.假装
fifteen	fif'ti:n	num.十五；十五个
refine	ri'fain	vt.&vi.精炼，提纯
mankind	mæn'kaind	n.人类
private	praivit	a.私人的；私下的
triumph	traiəmf	n.凯旋；胜利vi.成功
expense	iks'pens	n.花费，消费；费用
history	histəri	n.历史；个人经历
preface	prefis	n.序言，前言，引语
polish	pɔliʃ	vt.磨光；使优美
feeling	fi:liŋ	n.感情；感觉，知觉
pardon	pa:dn	n.原谅；赦免vt.原谅
approve	ə'pru:v	vt.赞成，称许；批准
resign	ri'zain	vt.放弃vi.辞职
earnest	ə:nist	a.认真的，诚恳的
barrier	bæriə	n.栅栏，屏障；障碍
rarely	reəli	ad.很少，难得
utility	ju:'tiliti	n.效用，有用，实用
content	kɔntent,kən'tent	n.内容，目录；容量a.满意的，满足的
harvest	ha:vist	n.收获，收成vt.收割
payment	peimənt	n.支付，支付的款项
throat	θrəut	n.咽喉，喉咙；嗓音
propose	prə'pəuz	vt.提议vi.求婚
entitle	in'taitl	vt.给…权利(或资格)
method	meθəd	n.方法，办法；教学法
steady	stedi	a.稳固的vt.使稳定
respond	ris'pɔnd	vi.作答；响应
morning	mɔ:niŋ	n.早晨，上午
confess	kən'fes	vt.供认，承认；坦白
disgust	dis'gʌst	n.厌恶憎恶嫌恶vt.&vi.令人厌恶
mission	miʃən	n.使命，任务；使团
margin	ma:dʒin	n.页边的空白；边缘
January	dʒænjuəri	n.一月
protein	prəuti:n	n.蛋白质，朊
torture	tɔ:tʃə	n.拷问；折磨vt.拷打
convert	kən'və:t,'kɔnvə:t	vt.使转变；使改变
maximum	mæksiməm	n.最大量a.最大的
unload	Λn'ləud	vt.卸(货)vi.卸货
spring	spriŋ	vi.跳，跃n.跳跃；泉
injure	indʒə	vt.伤害，损害，损伤
exhibit	ig'zibit	vt.显示；陈列，展览
grammar	græmə	n.语法；语法书
terror	terə	n.恐怖，惊骇
captain	kæptin	n.陆军上尉；队长
density	'densiti	n.密集稠密密度透明度
senior	si:njə	a.年少的；地位较高的
master	ma:stə	n.主人；能手；硕士
scratch	skrætʃ	vt.&vi.&n.搔；抓
origin	oridʒin	n.起源，由来；出身
bargain	ba:gin	n.交易vi.议价；成交
vision	viʒən	n.视；想象力；梦幻
threat	θret	n.威胁，恐吓，凶兆
drawing	'drɔ:iŋ	n.图画素描绘图绘图技巧
